route	content_elements	numeric_elements	charts	completeness	full_text_chars
home	50	27	0	partial	759
signal	97	45	0	partial	1131
breadth	32	14	2	loaded	502
sentiment	58	22	1	loaded	1251
briefing	290	132	0	loaded	7605
market-news	113	47	0	loaded	1519
technical	94	50	0	partial	1625
screener	198	121	0	loaded	1846
ticker	59	5	0	partial	580
portfolio	34	11	0	loaded	358
themes	47	14	0	partial	798
theme-detail	47	14	0	partial	798
macro	64	33	1	loaded	979
fxbond	76	43	2	loaded	1024
fundamental	65	7	2	loaded	622
options	14	3	0	loaded	343
kr-home	192	85	0	loaded	980
kr-supply	50	8	0	loaded	733
kr-themes	112	50	0	loaded	1754
kr-macro	227	111	0	loaded	1103
kr-technical	82	33	1	partial	1151
guide	172	19	0	loaded	261
